,PoS,Token
0,VERB,独特
1,PART,的
2,PROPN,三角状喷
3,NOUN,发物
4,VERB,表明
5,DET,该
6,ADJ,陨
7,NOUN,石坑
8,PART,的
9,NOUN,形成
10,VERB,可能
11,VERB,源于
12,NUM,一
13,NUM,次
14,ADP,自
15,NOUN,西南
16,ADP,往
17,PROPN,东北
18,PART,的
19,NOUN,斜向
20,VERB,撞击
21,PUNCT,。
22,PROPN,谢菲尔德
23,PART,的
24,VERB,有轨
25,NOUN,电车
26,VERB,停止
27,NOUN,运营
28,X,被
29,VERB,包括
30,NOUN,内环线
31,PART,在内
32,PART,的
33,ADJ,新
34,PART,的
35,NOUN,道路
36,NOUN,系统
37,VERB,取而代之
38,PUNCT,。
39,ADV,最
40,VERB,早
41,PART,的
42,NUM,两
43,NUM,个
44,NOUN,中心
45,PROPN,乔治梅森
46,NOUN,大学
47,PART,的
48,NOUN,历史
49,CCONJ,与
50,ADJ,新
51,NOUN,媒体
52,NOUN,中心
53,CCONJ,与
54,PROPN,维吉尼亚
55,NOUN,大学
56,PART,的
57,PROPN,维吉尼亚
58,NOUN,大学
59,NOUN,数字
60,NOUN,历史
61,NOUN,中心
62,ADV,一直
63,VERB,是
64,ADJ,数位
65,NOUN,史学
66,NOUN,计画
67,NOUN,发展
68,CCONJ,和
69,ADJ,数位
70,NOUN,史学
71,NOUN,教育
72,PART,的
73,NOUN,领导者
74,PUNCT,。
75,ADJ,多间
76,NOUN,法院
77,ADV,已经
78,ADV,清楚
79,VERB,表示
80,VERB,推文
81,VERB,可以
82,X,被
83,VERB,用以
84,VERB,证明
85,VERB,故意
86,PUNCT,。
87,NOUN,1856年
88,PROPN,Ramkumar死后拉
89,VERB,玛取而代之
90,VERB,成为
91,NOUN,时母庙
92,PART,的
93,NOUN,祭司
94,PUNCT,。
95,NOUN,1928年
96,PROPN,弗雷德里克·格里菲斯
97,VERB,发现
98,PART,了
99,NOUN,转化
100,NOUN,现象
101,PUNCT,（
102,VERB,参见
103,NOUN,格里菲斯
104,NOUN,实验
105,PUNCT,）
106,PUNCT,：
107,NOUN,死亡
108,PART,的
109,NOUN,细菌
110,VERB,可以
111,ADV,将
112,VERB,遗传
113,NOUN,物质
114,PUNCT,“
115,VERB,转化
116,PUNCT,”
117,ADP,到
118,DET,其他
119,ADV,依然
120,VERB,活
121,PART,着
122,PART,的
123,NOUN,细菌
124,PART,内
125,PUNCT,。
126,PUNCT,”
127,PROPN,托雷斯
128,ADP,在
129,NOUN,8月
130,NOUN,3日
131,VERB,表示
132,PRON,他
