,EN,FR,WA
0,She advanced to the semi-final where she defeated New Brunswick's Andrea Kelly.,Elle avança aux semi-finales où elle gagna sur l'équipe d'Andrea Kelly du Nouveau-Brunswick.,0-0 1-1 2-2 3-2 4-3 5-3 6-3 7-4 8-5 9-6 9-7 10-14 10-15 11-16 12-8 12-10 13-11 14-12 15-17
1,In 2008 Davidson was elected to the Naismith Memorial Basketball Hall of Fame as a contributor for his successes as an owner of the Pistons and Shock.,En 2008 Davidson fut intronisé au Naismith Memorial Basketball Hall of Fame en tant que contributeur au titre de ses succès en tant que propriétaire des Pistons et des Shock.,0-0 1-1 2-2 3-3 4-4 5-5 6-4 7-6 8-7 9-8 10-9 11-10 12-11 13-12 13-13 14-14 15-15 16-18 17-19 18-20 19-21 20-23 21-24 22-28 23-25 24-26 25-27 26-29 27-30
2,Sterling raised in a poor family was a young adventurer with dreams of fame and fortune who decided to become a pirate.,Sterling élevé dans une famille pauvre était un jeune aventurier avec des rêves de gloire et de fortune qui décida de devenir un pirate.,0-0 1-1 2-2 3-3 4-5 5-4 5-5 6-6 7-7 8-8 9-9 10-10 11-12 12-13 13-14 14-15 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24
3,He treated in a masterly manner (Bulletin astronomique 1889) the theory of the capture of comets by the larger planets and in this connection published his valuable Criterion for establishing the identity of a periodic comet whatever may have been the perturbations brought about in its orbit between successive appearances by the action of a planet.,Son traitement analytique de la capture des comètes dans l’orbite des grandes planètes (Bulletin astronomique 1889) a été saluée pour sa relative simplicité et son élégance : de ce travail il a formulé un critère de reconnaissance des comètes périodiques à partir des temps de retour successifs quelles que soient les perturbations de son orbite provoquées par les planètes.,0-33 4-28 6-14 7-15 8-16 9-17 10-18 11-2 12-1 13-3 14-4 15-5 16-6 17-7 18-8 19-11 20-12 21-13 22-29 23-30 24-31 25-32 26-35 27-36 29-37 31-39 32-38 34-40 36-42 37-41 38-50 39-50 40-51 41-52 42-53 43-54 44-58 45-58 46-55 47-56 48-57 50-49 51-48 52-59 55-61 56-60 57-61 58-62
4,On February 26 2007 The Walt Disney Company announced that four South American versions of the show were about to begin production: one for Argentina one for Colombia one for Ecuador and one for Brazil.,Le 26 février 2007 The Walt Disney Company annoncé la production de quatre adaptations en Amérique latine de la série : une en Argentine une en Colombie une en Equateur et une au Brésil.,0-0 1-2 2-1 3-3 4-4 5-5 6-6 7-7 8-8 10-12 11-16 12-15 13-13 14-17 15-18 16-19 20-9 21-10 22-20 23-21 24-22 25-23 26-24 27-25 28-26 29-27 30-28 31-29 32-30 33-31 34-32 35-33 36-34
5,The Mizo National Famine Front a body formed for famine relief in 1959 later developed into a new political organisation the Mizo National Front (MNF) in 1961.,Le Front national Mizo de lutte contre la famine une organisation créée en 1959 pour venir en aide aux victimes de la famine s’est ensuite transformé en 1961 en une nouvelle organisation politique le Front national Mizo (Mizo National Front (en) ou MNF).,0-0 1-3 2-2 3-8 4-1 5-9 6-10 7-11 8-14 9-8 9-22 10-17 10-19 11-12 12-13 13-25 14-26 15-29 16-30 17-31 18-33 19-32 20-34 21-37 21-39 22-36 22-40 23-41 24-38 24-45 25-46 26-44 26-47 27-27 28-28 29-48
6,If the five city levels are passed the player then faces a business competition with Trump.,Une fois les niveaux des cinq métropoles atteints le joueur entre en concurrence avec Trump.,0-1 1-2 2-5 3-6 4-3 5-6 6-7 7-8 8-9 9-0 10-10 11-11 12-6 13-12 14-13 15-14 16-15
7,Between locations in the Solar System the isotopic composition of argon varies greatly.,L'argon est remarquable parce que sa composition isotopique varie beaucoup entre diverses parties du système solaire.,0-11 1-13 3-14 4-16 5-15 6-6 7-8 8-7 9-0 10-1 11-9 12-10 13-17
8,The root cause of our contemporary cultural poverty is intellectual dishonesty.,La source de notre pauvreté culturelle contemporaine est la mauvaise foi intellectuelle.,0-0 1-1 2-1 3-2 4-3 5-6 6-5 7-4 8-7 9-11 10-9 11-12
9,"That's what is absent from Hollywood's interpretation.""",C'est ce qui manque dans l'interprétation d'Hollywood ».,0-0 1-0 1-1 2-3 3-4 4-2 5-5 6-9 7-6 7-8 8-7 9-11 10-10
