,Sentence,Annotation
0,70%的人说他们是来抗议11月30日晚警方的暴力行径54%的人来为支持与欧盟签订同盟协定而示威。,"70 m
% x
的 uj
人 n
说 v
他们 r
是 v
来 v
抗议 nz
11 m
月 m
30 m
日晚 t
警方 n
的 uj
暴力 n
行径 n
54 m
% x
的 uj
人 n
来 v
为 p
支持 v
与 p
欧盟 j
签订 v
同盟 j
协定 v
而 c
示威 n
。 x
"
1,独特的三角状喷发物表明该陨石坑的形成可能源于一次自西南往东北的斜向撞击。,"独特 a
的 uj
三角状 nz
喷发物 n
表明 v
该 r
陨石坑 n
的 uj
形成 v
可能 v
源于 v
一次 m
自 p
西南 ns
往 zg
东北 ns
的 uj
斜向 n
撞击 v
。 x
"
2,谢菲尔德的有轨电车停止运营被包括内环线在内的新的道路系统取而代之。,"谢菲尔德 nrt
的 uj
有轨电车 l
停止 v
运营 vn
被 p
包括 v
内环线 n
在内 u
的 uj
新 a
的 uj
道路 n
系统 n
取而代之 i
。 x
"
3,最早的两个中心乔治梅森大学的历史与新媒体中心与维吉尼亚大学的维吉尼亚大学数字历史中心一直是数位史学计画发展和数位史学教育的领导者。,"最早 d
的 uj
两个 m
中心 n
乔治 nr
梅森 nr
大学 n
的 uj
历史 n
与 p
新 a
媒体 n
中心 n
与 p
维吉尼亚 ns
大学 n
的 uj
维吉尼亚 ns
大学 n
数字 n
历史 n
中心 n
一直 d
是 v
数位 n
史学 n
计画 n
发展 vn
和 c
数位 n
史学 n
教育 vn
的 uj
领导者 n
。 x
"
4,多间法院已经清楚表示推文可以被用以证明故意。,"多 m
间 f
法院 n
已经 d
清楚 a
表示 v
推文 v
可以 c
被 p
用以 v
证明 n
故意 d
。 x
"
5,1856年Ramkumar死后拉玛取而代之成为时母庙的祭司。,"1856 m
年 m
Ramkumar eng
死 v
后 f
拉玛 nrt
取而代之 i
成为 v
时母庙 n
的 uj
祭司 n
。 x
"
6,1928年弗雷德里克·格里菲斯发现了转化现象（参见格里菲斯实验）：死亡的细菌可以将遗传物质“转化”到其他依然活着的细菌内。,"1928 m
年 m
弗雷德里克 nrt
· x
格里菲斯 nrt
发现 v
了 ul
转化 v
现象 n
（ x
参见 v
格里菲斯 nrt
实验 vn
） x
： x
死亡 v
的 uj
细菌 n
可以 c
将 d
遗传物质 n
“ x
转化 v
” x
到 v
其他 r
依然 d
活着 v
的 uj
细菌 n
内 n
。 x
"
7,”托雷斯在8月3日表示他承诺留在行浦他说“正如我加盟的第一天我对俱乐部的承诺和忠诚度和球迷一样。,"” x
托雷斯 nr
在 p
8 m
月 m
3 m
日 m
表示 v
他 r
承诺 v
留在 v
行浦 j
他 r
说 v
“ x
正如 v
我 r
加盟 ns
的 uj
第一天 m
我 r
对 p
俱乐部 n
的 uj
承诺 v
和 c
忠诚度 i
和 c
球迷 n
一样 r
。 x
"
8,而文化资本即是指包含了可以赋予权力和地位的累积文化知识的一种社会关系。,"而 c
文化 n
资本 n
即是 c
指 n
包含 v
了 ul
可以 c
赋予 v
权力 n
和 c
地位 n
的 uj
累积 v
文化 n
知识 v
的 uj
一种 m
社会关系 l
。 x
"
9,快速的二日飞掠任务（1965年7月14至15日）提供了火星气候有限而粗略的模式。,"快速 d
的 uj
二日 t
飞掠 v
任务 n
（ x
1965 m
年 m
7 m
月 m
14 m
至 p
15 m
日 m
） x
提供 v
了 ul
火星 n
气候 n
有限 a
而 c
粗略 n
的 uj
模式 n
。 x
"
10,因此白矮星太阳将逐渐冷却越来越黯淡。,"因此 c
白矮星 n
太阳 ns
将 d
逐渐 d
冷却 v
越来越 d
黯淡 z
。 x
"
11,里奇则是更希望爱瑟儿能在他的夜总会表演因为她有露西所不具备的歌舞能力。,"里奇 nrt
则 d
是 v
更 d
希望 v
爱瑟儿 nr
能 v
在 p
他 r
的 uj
夜总会 n
表演 v
因为 c
她 r
有 v
露西 n
所不 c
具备 v
的 uj
歌舞 n
能力 n
。 x
"
12,同一种资产在不同市场上价格不同（违背了“一价定律”）。,"同 p
一种 m
资产 n
在 p
不同 a
市场 n
上 f
价格 n
不同 a
（ x
违背 v
了 ul
“ x
一 m
价 n
定律 n
” x
） x
。 x
"
13,拉冯是1936年民主党全国委员会委员但却决定不出席这年的全国大会。,"拉冯 nr
是 v
1936 m
年 m
民主党 nt
全国 n
委员会 n
委员 n
但 c
却 d
决定 v
不 d
出席 v
这年 r
的 uj
全国 n
大会 n
。 x
"
14,主要由两种方法来做根据主题的文档分类：基于内容的方法以及基于请求的方法。,"主要 b
由 p
两种 m
方法 n
来 v
做 v
根据 p
主题 n
的 uj
文档 n
分类 n
： x
基于 p
内容 n
的 uj
方法 n
以及 c
基于 p
请求 v
的 uj
方法 n
。 x
"
15,当今所观。,"当今 t
所观 n
。 x
"
16,罗马尼亚华人是罗马尼亚少数族群之一。,"罗马尼亚 ns
华人 n
是 v
罗马尼亚 ns
少数 m
族群 n
之一 r
。 x
"
17,“向国家投降！” 约瑟夫·韦斯特曼用德文大喊。,"“ x
向 p
国家 n
投降 v
！ x
” x
  x
约瑟夫 nrt
· x
韦斯特 nr
曼用 nr
德文 nz
大喊 v
。 x
"
18,埃塞俄比亚中央统计局资料显示阿瓦什河全长1200公里。,"埃塞俄比亚 ns
中央 n
统计局 nt
资料 n
显示 v
阿瓦 nrt
什河 ns
全长 n
1200 m
公里 q
。 x
"
19,苏联佔据捷克斯洛伐克 (1968年) 之后他决定留在德国 (1970年)。,"苏联 ns
佔 v
据 p
捷克斯洛伐克 ns
  x
( x
1968 m
年 m
) x
  x
之后 f
他 r
决定 v
留在 v
德国 ns
  x
( x
1970 m
年 m
) x
。 x
"
20,故事舞台设定在现代的日本。,"故事 n
舞台 n
设定 v
在 p
现代 t
的 uj
日本 ns
。 x
"
21,"为了增加他们发现泰坦尼克号残骸的机会小队雇用了一件能力更强的声纳设施""Scripps Deep Tow""号。","为了 p
增加 v
他们 r
发现 v
泰坦尼克号 nz
残骸 n
的 uj
机会 n
小队 n
雇用 v
了 ul
一件 m
能力 n
更 d
强 a
的 uj
声纳 n
设施 n
"" x
Scripps eng
  x
Deep eng
  x
Tow eng
"" x
号 m
。 x
"
22,桥的北端是爱丁堡新城的王子街其西侧是巴尔莫勒尔饭店最初是北不列颠酒店北不列颠铁路公司的酒店 服务于毗邻的爱丁堡威瓦利站。,"桥 n
的 uj
北端 f
是 v
爱丁堡 ns
新城 ns
的 uj
王子 nr
街 n
其 r
西侧 f
是 v
巴尔 ns
莫 d
勒尔 nrt
饭店 n
最初 t
是 v
北 ns
不列颠 ns
酒店 n
北 ns
不列颠 ns
铁路 n
公司 n
的 uj
酒店 n
  x
服务 vn
于 p
毗邻 v
的 uj
爱丁堡 ns
威 ns
瓦利 nrt
站 v
。 x
"
23,中国驻柏林使馆也收到了失踪的报告。,"中国 ns
驻 v
柏林 nr
使馆 n
也 d
收到 v
了 ul
失踪 v
的 uj
报告 n
。 x
"
24,同样地1852年奥地利刑法典亦规定“协议……用来提高商品价格……不利于公共利益者应处予轻罪。,"同样 d
地 n
1852 m
年 m
奥地利 ns
刑法典 nr
亦 d
规定 n
“ x
协议 n
… x
… x
用来 v
提高 v
商品价格 n
… x
… x
不利于 v
公共利益 n
者 k
应 v
处予 v
轻罪 v
。 x
"
25,埃马纽埃尔·马克龙在2017年5月14日成为总统接替弗朗索瓦·奥朗德。,"埃马 ns
纽埃 ns
尔 nr
· x
马克 nr
龙 n
在 p
2017 m
年 m
5 m
月 m
14 m
日 m
成为 v
总统 n
接替 v
弗朗索瓦 nrt
· x
奥 nr
朗德 nrt
。 x
"
26,尼泊尔人来到俄罗斯是在苏联时期他们来苏联读书和接受训练大约超过6000位尼泊尔留学生从苏联各大学毕业成为律师新闻工作者、医生和工程师。,"尼泊尔人 nr
来到 v
俄罗斯 ns
是 v
在 p
苏联 ns
时期 n
他们 r
来 v
苏联 ns
读书 n
和 c
接受 v
训练 vn
大约 d
超过 v
6000 m
位 v
尼泊尔 nr
留学生 n
从 p
苏联 ns
各 r
大学毕业 n
成为 v
律师 n
新闻 n
工作者 n
、 x
医生 n
和 c
工程师 n
。 x
"
27,大多数植物的色素体都来自其中一个父母。,"大多数 m
植物 n
的 uj
色素体 n
都 d
来自 v
其中 r
一个 m
父母 n
。 x
"
28,带状特征和外流继续发展法比安的中心周围有环形对流形成到了8月30日飓风在逐渐减慢向西北偏西方向前进速度的过程中达到飓风强度。,"带状 v
特征 n
和 c
外流 n
继续 v
发展 vn
法比安 ns
的 uj
中心 n
周围 f
有 v
环形 n
对流 n
形成 v
到 v
了 ul
8 m
月 m
30 m
日 m
飓风 n
在 p
逐渐 d
减慢 v
向 p
西北 ns
偏西 n
方向 n
前进 v
速度 n
的 uj
过程 n
中 f
达到 v
飓风 n
强度 n
。 x
"
29,在不成功的拍摄“太奇怪”、“太模糊”的电影后艾格斯意识到他必须制作一个更传统的电影。,"在 p
不 v
成功 a
的 uj
拍摄 v
“ x
太 d
奇怪 v
” x
、 x
“ x
太 d
模糊 a
” x
的 uj
电影 n
后 f
艾 nr
格斯 nrt
意识 n
到 v
他 r
必须 d
制作 vn
一个 m
更 d
传统 n
的 uj
电影 n
。 x
"
30,类似的坐标图对南半球也存在。,"类似 v
的 uj
坐标 v
图 n
对 p
南半球 ns
也 d
存在 v
。 x
"
31,移动设备同时也会将当前的位置区码（LAC）存储到SIM卡中将LAC添加到“最近使用过的LAC列表”的后面。,"移动 vn
设备 vn
同时 c
也 d
会 v
将 d
当前 t
的 uj
位置 v
区码 n
（ x
LAC eng
） x
存储 j
到 v
SIM卡 n
中将 n
LAC eng
添加 v
到 v
“ x
最近 f
使用 v
过 ug
的 uj
LAC eng
列表 n
” x
的 uj
后面 f
。 x
"
