EN,ZH
70% Said they came to protest the police brutality of 30 November and 54% to protest in support of the European Union Association Agreement signing.,70%的人说他们是来抗议11月30日晚警方的暴力行径54%的人来为支持与欧盟签订同盟协定而示威。
The distinctive triangular shape of the ejecta indicates that the impacting body probably hit obliquely traveling from southwest to northeast.,独特的三角状喷发物表明该陨石坑的形成可能源于一次自西南往东北的斜向撞击。
The Sheffield Tramway was closed and a new system of roads including the Inner Ring Road were laid out.,谢菲尔德的有轨电车停止运营被包括内环线在内的新的道路系统取而代之。
Two of the first centers George Mason University's Center for History and New Media and the Virginia Center for Digital History at the University of Virginia have been among the leaders in the development of digital history projects and the education of digital historians.,最早的两个中心乔治梅森大学的历史与新媒体中心与维吉尼亚大学的维吉尼亚大学数字历史中心一直是数位史学计画发展和数位史学教育的领导者。
Courts have been clear that Twitter statements can be used as evidence of intent.,多间法院已经清楚表示推文可以被用以证明故意。
When Ramkumar died in 1856 Ramakrishna took his place as the priest of the Kali temple.,1856年Ramkumar死后拉玛取而代之成为时母庙的祭司。
"In 1928 Frederick Griffith discovered the phenomenon of transformation (see Griffith's experiment): dead bacteria could transfer genetic material to ""transform"" other still-living bacteria.",1928年弗雷德里克·格里菲斯发现了转化现象（参见格里菲斯实验）：死亡的细菌可以将遗传物质“转化”到其他依然活着的细菌内。
"Torres stated his commitment to Liverpool on 3 August: ""My commitment and loyalty to the club and to the fans is the same as it was on my first day when I signed.""",”托雷斯在8月3日表示他承诺留在行浦他说“正如我加盟的第一天我对俱乐部的承诺和忠诚度和球迷一样。
As a social relation within a system of exchange cultural capital includes the accumulated cultural knowledge that confers social status and power.,而文化资本即是指包含了可以赋予权力和地位的累积文化知识的一种社会关系。
That quick two-day pass (July 14–15 1965) with crude instruments contributed little to the state of knowledge of Martian climate.,快速的二日飞掠任务（1965年7月14至15日）提供了火星气候有限而粗略的模式。
Thus the white dwarf Sun will gradually cool growing dimmer and dimmer.,因此白矮星太阳将逐渐冷却越来越黯淡。
Ricky is more inclined to include Ethel in performances at his nightclub because unlike Lucy she can actually sing and dance rather well.,里奇则是更希望爱瑟儿能在他的夜总会表演因为她有露西所不具备的歌舞能力。
"The same asset must trade at the same price on all markets (""the law of one price"").",同一种资产在不同市场上价格不同（违背了“一价定律”）。
Laffoon was a member of the Democratic National Committee in 1936 but decided not to attend the national convention.,拉冯是1936年民主党全国委员会委员但却决定不出席这年的全国大会。
There are two main philosophies of subject classification of documents: the content-based approach and the request-based approach.,主要由两种方法来做根据主题的文档分类：基于内容的方法以及基于请求的方法。
Today's Outlook.,当今所观。
The Chinese of Romania are one of the smallest minorities of Romania.,罗马尼亚华人是罗马尼亚少数族群之一。
