translation
"{'en': 'In 1835 he met and befriended Taras Shevchenko.', 'fr': 'En juillet 1835 il rencontre et se lie avec Taras Chevtchenko.'}"
"{'en': 'Edward kept a camel as a pet and as a young man took a lion with him on campaign to Scotland.', 'fr': ""Édouard avait un chameau comme animal de compagnie et pendant sa jeunesse avait emmené un lion avec lui lors d'une campagne en Écosse.""}"
"{'en': 'Although it represents a limited activity today rail transportation was a particularly large market in years gone by: 442% of all the engines produced in the history of S.E.M.T. were destined for locomotives.', 'fr': 'Aujourd’hui réduite l’activité ferroviaire a été importante à l’époque car les moteurs représentent 442 % du nombre de moteurs produits dans l’histoire de Pielstick.'}"
"{'en': ""In 1979 Gebhard (with Alan B. Johnson) concluded that none of Kinsey's original estimates were significantly affected by the perceived bias finding that 36.4% of men had engaged in both heterosexual and homosexual activities as opposed to Kinsey's 37%."", 'fr': ""En 1979 Gebhard (avec Alan B. Johnson) a conclu qu'aucune des estimations initiales de Kinsey ont été significativement affectée par la partialité et de trouver que 36.4 % des hommes s'étaient engagés à la fois dans des activités hétérosexuelles et homosexuelles par opposition aux 37 % de Kinsey.""}"
"{'en': ""In 1998 the USAF's Lockheed U-2S fleet was fitted with a modified version of the F118."", 'fr': ""En 1998 la flotte américaine de Lockheed U-2 est équipée d'une version modifiée du F118.""}"
"{'en': 'The priesthood of this cult was carried out exclusively by members of these two families as a sacrum gentilicium—the sacred duty of a particular gens.', 'fr': ""Le sacerdoce de ce culte a été réalisé exclusivement par des membres de ces deux familles comme un gentilicium sacrum mais au bénéfice de l'ensemble des citoyens.""}"
"{'en': 'He later moved to the historic city center of Quimper in order to share his passion and make it known to the public.', 'fr': ""Il s'installe au centre-ville historique de Quimper offrant ainsi l'accès au grand public pour partager sa passion et la faire connaître au plus grand nombre.""}"
"{'en': 'In April 2016 Hopkins was cast in the BBC Three Doctor Who spin-off Class as April MacLean.', 'fr': 'En avril 2016 Hopkins a été choisie pour le rôle de April MacLean dans le spin-off de Doctor Who ""Class"".'}"
"{'en': ""In Butina's indictment federal prosecutors said an unnamed American political operative later identified as Erickson had worked with Butina to arrange introductions to influential people inside the U.S. and to advance Russian interests."", 'fr': ""Les autorités ont déclaré qu'un Américain dont le nom n'a pas été divulgué plus tard identifié comme étant Erickson a œuvré avec Boutina pour organiser des présentations avec des personnes influentes sur le sol des États-Unis dans le but de favoriser les intérêts russes.""}"
"{'en': 'Charles decides that they must bait the bear and kill it in order to survive.', 'fr': ""Charles décide qu'ils doivent appâter l'ours et le tuer pour survivre.""}"
"{'en': 'Walcher and his men sought refuge in a nearby church but the Northumbrians set fire to it.', 'fr': 'Walcher et ses hommes se réfugient dans une église proche à laquelle la population met le feu.'}"
"{'en': 'Regarding Rosenbaum French New Wave director Jean-Luc Godard said: ""I think there is a very good film critic in the United States today a successor of James Agee and that is Jonathan Rosenbaum.', 'fr': ""Le réalisateur Jean-Luc Godard a dit à son propos : « Je pense qu'il y a actuellement un très bon critique de cinéma aux États-Unis un successeur de James Agee il s'appelle Jonathan Rosenbaum.""}"
"{'en': 'This is a hierarchy problem very similar to that of the Higgs boson mass problem since the cosmological constant is also very sensitive to quantum corrections.', 'fr': ""C'est un problème de hiérarchie très similaire à celui du problème de la masse du boson de Higgs dès lors que la constante cosmologique est aussi très sensible aux corrections quantiques.""}"
"{'en': 'This meant that equipment could be maintained modified and regularly updated by the company.', 'fr': ""Cela permet à l'entreprise de maintenir de mettre à jour et de modifier l'équipement à son gré.""}"
"{'en': 'In two articles published in 2000 and 2001 Verner argues that contrary to what Manetho indicates Shepseskare must have reigned for a couple of months at the most a hypothesis already proposed by the French Egyptologist Nicolas Grimal in 1988.', 'fr': ""Dans deux articles publiés en 2000 et 2001 Verner soutient que contrairement à ce qu'indique Manéthon Chepseskarê a dû régner pendant quelques mois au plus hypothèse déjà proposée par l'égyptologue français Nicolas Grimal en 1988.""}"
"{'en': 'This correspondence between gravitational mass and inertial mass is the equivalence principle.', 'fr': ""En mécanique relativiste l'identité entre masse inerte et masse grave fait l'objet du principe d'équivalence.""}"
"{'en': 'These forces were recruited as mercenaries by the Japanese during the Russo-Japanese War of 1904-05.', 'fr': 'Ces troupes sont recrutées comme mercenaires par les Japonais durant la guerre russo-japonaise de 1904-05.'}"
"{'en': 'In the 19th century a group of Spanish Jesuits began the publication of letters of Saint Ignatius of Loyola.', 'fr': 'Au milieu du XIXe siècle un groupe de jésuites espagnols commence la publication de lettres de saint Ignace de Loyola.'}"
"{'en': 'For Ted it was the start of a career in television.', 'fr': 'C’est le début d’une carrière en télévision.'}"
"{'en': 'So also are offices for several NGOs operating in the district such as Save the Children Concern Universal and the Red Cross.', 'fr': 'On trouve aussi les bureaux de plusieurs ONG opérant dans le district comme Save the Children Concern Universal et la Croix-Rouge.'}"
"{'en': 'On July 7 2005 the European Parliament issued an official statement recommending the return of the territories in dispute which Russia immediately protested.', 'fr': 'Le 7 juillet 2005 le Parlement européen émet une déclaration officielle recommandant la restitution des territoires en litige déclaration contre laquelle la Russie proteste immédiatement.'}"
"{'en': 'Diogo do Couto paid for the rest of his trip to Lisbon where Camões arrived in 1570.', 'fr': ""Diogo do Couto lui paya le reste du voyage jusqu'à Lisbonne où Camões arriva en 1570.""}"
"{'en': 'Originally designated by number the regions acquired nicknames from major landmarks or topographical features within them.', 'fr': ""À l'origine les régions sont désignées par leur numéro mais elles acquièrent progressivement des surnoms dérivés des principaux monuments ou éléments topographiques qu'elles contiennent.""}"
"{'en': 'For the 2009 main Series the team signed F3 frontrunners Sergio Pérez and Mortara.', 'fr': ""Pour 2009 l'équipe a signé les pionniers de la Formule 3 Sergio Pérez et Edoardo Mortara.""}"
"{'en': 'Carter Harrison Jr. was the first mayor to have been born within city limits.', 'fr': 'Carter Harrison Jr. est le premier des maires à être né à Chicago.'}"
"{'en': 'The Cream Legbar possesses in contrast to the Gold Legbar and the Silver Legbar a crest due to its Araucana blood.', 'fr': 'La Cream Legbar possède à la différence de la Gold Legbar et de la Silver Legbar une crête à pois due à son sang Araucana.'}"
"{'en': 'The awnings which covered the platforms protected the passengers from the weather.', 'fr': 'Les auvents qui couvraient les quais offraient une protection contre les intempéries.'}"
"{'en': ""He searches for his brother's heart for more than three years finding it at the beginning of the fourth year."", 'fr': 'Il cherche le cœur de son frère pendant plus de trois ans le trouve au début de la quatrième année.'}"
"{'en': 'She was a strong believer in Utopian socialism.', 'fr': 'Elle est une figure forte du socialisme utopique.'}"
"{'en': ""Carlton is home to some of Melbourne's most historically significant buildings such as Melbourne Trades Hall and the World Heritage Site of the Carlton Gardens the Royal Exhibition Building and the ruins of the old Carlton Brewery a collection of buildings constructed between 1864 and 1927 all listed on the Victorian Heritage Register."", 'fr': ""Carlton abrite certains des plus importants bâtiments historiques de Melbourne tels que le site du patrimoine mondial des Carlton Gardens le Royal Exhibition Building et les ruines de l'ancienne Carlton Brewery un ensemble de bâtiments construits entre 1864 et 1927 tous les figurant sur le registre du patrimoine victorien.""}"
"{'en': 'Dr. Farzani who is married to a Russian woman wants to have their son circumcised.', 'fr': 'Le docteur Farzani marié à une femme russe veut faire circoncire son fils.'}"
"{'en': 'The Montauban platform: this small platform triangular at its base and pentagonal in its upper part is the highest point of the rempart des Otages and is at the same time its northern limit.', 'fr': 'La plate-forme du Montauban : cette petite plate-forme triangulaire à sa base et pentagonale à sa partie supérieure représente le point le plus élevé du rempart des Otages et en même temps sa limite nord.'}"
"{'en': 'Ni Hao Kai-lan introduces its viewers to the Mandarin Chinese language along with elements of Chinese culture and values and intergenerational families (e.g. Kai-lan and her relationship with Ye Ye).', 'fr': 'Ni Hao Kai-Lan introduit à ses téléspectateurs la langue chinoise mandarin ainsi que des éléments de la culture chinoise le multiculturalisme (à travers la diversité des origines des amis de Kai-Lan) et les familles intergénérationnelles (par exemple Kai-Lan et ses relations avec Ye Ye le grand-père).'}"
"{'en': 'The average length of the route between Bondy and Montfermeil is estimated at slightly less than thirty minutes.', 'fr': 'Le temps moyen de parcours total entre Bondy et Montfermeil est estimé à un petit peu moins de trente minutes.'}"
"{'en': 'He debuted in Plaza México on July 12 1966 with Gonzalo Iturbe and Leonardo Manzanos.', 'fr': 'Présentation à Mexico : 12 juillet 1966 aux côtés de Gonzalo Iturbe et Leonardo Manzanos.'}"
"{'en': 'Krusty is a favorite character of several of the original writers many of whom related themselves to him and wanted to write the Krusty-focused episodes.', 'fr': ""Krusty est le personnage préféré de plusieurs des scénaristes ainsi nombre d'entre eux écrivent des épisodes centrés sur Krusty en le reliant à eux-mêmes.""}"
"{'en': 'In 2006 he was given the Alan Clarke Award for Outstanding Creative Contribution to Television at the British Academy Television Awards.', 'fr': ""En 2006 il a reçu le Alan Clarke Award pour contribution remarquable aux récompenses télévisuelles de l'académie britannique.""}"
"{'en': 'However certain organolithium compounds possess properties such as solubility in nonpolar solvents that complicate the issue.', 'fr': 'Certains organolithiens présentent cependant des propriétés telles que la solubilité dans les solvants apolaires qui compliquent la question.'}"
"{'en': 'The XA was sent back to Baldwin in 1920 and was rebuilt as two locomotives a 2-8-8-0 and a 2-8-2.', 'fr': 'La XA fut renvoyée à Baldwin en 1920 et reconstruite sous la forme de deux locomotives une 2-8-8-0 et une 2-8-2.'}"
"{'en': ""Union casualties were 256 men in Gregg's division and another 41 from Custer's brigade including Private John Huff the cavalryman from the 5th Michigan who had fatally shot Maj. Gen. J.E.B. Stuart at Yellow Tavern."", 'fr': 'Les pertes de l’Union furent de 256 hommes dans la division de Gregg et de 41 cavaliers dans la brigade de Custer y compris le soldat John Huff le cavalier de la Ve du Michigan qui avait abattu J.E.B. Stuart à la bataille de Yellow Tavern.'}"
"{'en': 'Murry was nicknamed ""Colin"" by his grandmother which later served as a semi-pseudonymous pen name for some of his books.', 'fr': ""C'est sa grand-mère qui lui donne le surnom de « Colin » dont il se servira plus tard pour l'un de ses pseudonymes littéraires.""}"
"{'en': 'Flying into a great rage he chased the animals from the mountaintop with his Fire.', 'fr': 'Volant dans une grande colère il chassa les animaux de la montagne avec son feu.'}"
"{'en': 'At several stages the beans are sorted according to quality.', 'fr': 'À plusieurs étapes les grains sont triés selon leur qualité.'}"
"{'en': 'Since Jews were considered ""enemy aliens"" by the Social Republic regime they were left with little or nothing to live on and many were deported to Nazi concentration and extermination camps where about 7000 died.', 'fr': ""Comme les Juifs étaient considérés comme des « étrangers ennemis » par le régime de la République sociale ils n'avaient que peu ou pas de quoi vivre et beaucoup ont été déportés dans des camps de concentration et d'extermination nazis où environ 7 000 personnes sont mortes.""}"
"{'en': 'The history of Anglet actually appears from the Middle Ages where it was discovered that the core of the oldest settlement is located in a rural area called ""Berindos"" which is Brindos (mentioned in 1083).', 'fr': ""L'histoire d'Anglet nous apparaît réellement à partir du Moyen Âge où on découvre que son noyau de peuplement le plus ancien se situe sur un domaine rural nommé « Berindos » soit Brindos (mentionné en 1083).""}"
"{'en': 'Each wall had a main central Greek/Roman mural however Grell decorated the entire wall with various patterns of flora and custom design.', 'fr': 'Chaque mur possédait une pièce maîtresse centrale de style gréco-romaine mais Grell a décoré tout le mur avec différents motifs de flore et de conception personnalisée.'}"
"{'en': 'At this point Hunt is revealed to be Dirk Peters.', 'fr': 'On découvre que Hunt n’est autre que Dirk Peters.'}"
"{'en': 'Maupiti Island is a French computer game created in 1990 by Lankhor.', 'fr': 'Maupiti Island est un jeu vidéo édité par Lankhor en 1990.'}"
"{'en': 'From the intersection of the road Marchand and road St-Joseph in Sainte-Thècle up to the village of Saint-Tite through the area of the large marshes (Grands marais in French) Rivière des Envies is taking a very winding course.', 'fr': 'De l\'intersection de la route Marchand du chemin Saint-Joseph à Sainte-Thècle jusqu\'au village de Saint-Tite en passant par la zone des grands marais la ""rivière des Envies"" a un parcours très sinueux.'}"
"{'en': 'The difference between male and female interests is larger in gender-egalitarian countries than in non gender-egalitarian countries which contradicts the theory that these differences are solely due to societal roles.', 'fr': ""De plus il montre que ces différences sont plus importantes dans les sociétés individualistes que dans les sociétés collectivistes ce qui va à l'encontre des prédictions apportées par la théorie des rôles de genre de Eagly.""}"
"{'en': 'He was assassinated by agents of Ali Pasha in Corfou in 1809 (Boppe pp. 15).', 'fr': ""Il a été assassiné par des agents d'Ali Pasha à Corfou en 1809.""}"
"{'en': 'Cape Sable Island was inhabited by the Mi\'kmaq who knew it as Kespoogwitk meaning ""land\'s end"".', 'fr': ""L'île du Cap de Sable fut habitée par les Micmacs qui l’appelaient l'île Kespoogwitk qui veut dire « fin des terres ».""}"
"{'en': 'Psellos commented on this decision that Romanos ""thought war was decided by the big battalions and it was on the big battalions that he relied"".', 'fr': ""Comme Michel Psellos l'affirme vertement : « Romain pensait que la guerre se décidait avec de gros bataillons et c'est sur de gros bataillons qu'il se reposait ».""}"
"{'en': 'The Topham-McCarty Band was formed and played for two years until Topham decided in July 1990 to pursue country blues.', 'fr': ""De retour à Londres ils jouent ensemble deux ans jusqu'à ce que Topham décide en juillet 1990 de jouer du country blues.""}"
"{'en': 'The genes for mitosomal components are contained in the nuclear genome.', 'fr': 'Les gènes codant les composants mitosomaux font partie du génome nucléaire.'}"
"{'en': ""This castle did not have a keep as such; the gatehouse acted as the castle's keep because this was the tallest part of the Castell Carreg."", 'fr': ""Ce château n'avait pas de donjon en tant que tel; La maison de garde servait de donjon au château parce que c'était la partie la plus haute du Castell Carreg.""}"
"{'en': 'After the purchase Jackson struck up a correspondence with the two Toronto artists often debating on topics related to Canadian art.', 'fr': ""Après l'achat Jackson entretient une correspondance avec les deux artistes de Toronto où tous trois débattent de sujets liés à l'art canadien.""}"
"{'en': 'Of the original citadel the following vestiges remain: The two southern bastions (la Bastion de la Reine and la Bastion de Ventadour) and the wall linking them have been preserved.', 'fr': ""De la citadelle d'origine il reste les deux bastions du sud (Reine et Ventadour) et la muraille qui les relie qui sont parfaitement conservés.""}"
