article,sentences,initial_model,ft_no_anno,ft_wa_trg,ft_pos
Abstract art,"In Chinese painting, abstraction can be traced to the Tang dynasty painter Wang Mo (??), who is credited to have invented the splashed-ink painting style.","Dans la peinture chinoise, l'abstraction peut être tracée à la dynastie Tang peintre Wang Mo (??), qui est crédité d'avoir inventé le style de peinture éclaboussée.",Dans la peinture chinoise l'abstraction peut être tracée par le peintre de la dynastie Tang Wang Mo (??) qui est crédité d'avoir inventé le style de peinture à jets d'éclaboussures.,"Dans la peinture chinoise l'abstraction peut être tracée à la dynastie Tang peintre Wang Mo (??), qui est crédité d'avoir inventé le style de peinture éclaboussure-puce.................................................................................","Dans la peinture chinoise, l'abstraction peut être tracée par le peintre de la dynastie Tang Wang Mo (???), qui est crédité d'avoir inventé le style de peinture à jet d'éclaboussures."
Abstract art,"While none of his paintings remain, this style is clearly seen in some Song Dynasty Paintings.","Bien qu'aucune de ses peintures ne reste, ce style est clairement vu dans certains Song Dynasty Paintings.","Bien qu'aucune de ses peintures ne subsiste, ce style est clairement vu dans certains Song Dynasty Paintings.","Bien qu'aucune de ses peintures ne reste, ce style est clairement vu dans certains Song Dynasty Paintings.....................................................................................................","Bien qu'aucune de ses peintures ne reste, ce style est clairement vu dans certains Song Dynasty Paintings....................................................................................................."
Abstract art,"The Chan buddhist painter Liang Kai (??, c. 11401210) applied the style to figure painting in his ""Immortal in splashed ink"" in which accurate representation is sacrificed to enhance spontaneity linked to the non-rational mind of the enlightened.","Le peintre bouddhiste Chan Liang Kai (??, vers 1140=1210) a appliqué le style à la peinture figurative dans son ""Immortal in splashed enk"" dans lequel une représentation précise est sacrifiée pour améliorer la spontanéité liée à l'esprit non-rationnel de l'éclairé.","Le peintre bouddhiste Chan Liang Kai (??, vers 1140=1210) a appliqué le style à la peinture figurative dans son « Immortal in splashed enk » dans lequel une représentation précise est sacrifiée pour renforcer la spontanéité liée à l'esprit non rationnel de l'éclairé.",Le peintre bouddhiste de Chan Liang Kai (?? vers 1140=1210) a appliqué le style à la peinture figurative dans son « Immortal in splashed enk » dans lequel une représentation précise est sacrifiée pour améliorer la spontanéité liée à l'esprit non rationnel de l'éclairé.,"Le peintre bouddhiste Chan Liang Kai (??, vers 1140=1210) applique le style à la peinture figurative dans son « Immortal in splashed enk » dans lequel une représentation précise est sacrifiée pour améliorer la spontanéité liée à l'esprit non rationnel de l'éclairé."
Abstract art,"A late Song painter named Yu Jian, adept to Tiantai buddhism, created a series of splashed ink landscapes that eventually inspired many Japanese Zen painters.","Un peintre de feu Song nommé Yu Jian, adepte du bouddhisme de Tiantai, a créé une série de paysages d'encre éclaboussées qui a finalement inspiré de nombreux peintres japonais Zen.","Un peintre de feu Song nommé Yu Jian, adepte du Bouddhisme de Tiantai, crée une série de paysages à l'encre éclaboussées qui inspirent finalement de nombreux peintres japonais Zens............................................................................","Un peintre de feu Song nommé Yu Jian, adepte du Bouddhisme de Tiantai a créé une série de paysages d'encre éclaboussés qui ont finalement inspiré de nombreux peintres japonais Zen.","Un peintre de feu Song nommé Yu Jian, adepte du Bouddhisme de Tiantai, a créé une série de paysages à l'encre éclaboussée qui ont finalement inspiré de nombreux peintres japonais Zen."
Alan Turing,"When Turing was 39 years old in 1951, he turned to mathematical biology, finally publishing his masterpiece ""The Chemical Basis of Morphogenesis"" in January 1952.","Quand Turing avait 39 ans en 1951, il se tourna vers la biologie mathématique, publiant finalement son chef-d'œuvre ""The Chemical Bases of Morphogenèse"" en janvier 1952.",Quand Turing avait 39 ans en 1951 il se tourna vers la biologie mathématique et publia finalement son chef-d'œuvre « The Chemical Bases of Morphogenèse » en janvier 1952.,Quand Turing avait 39 ans en 1951 il se tourna vers la biologie mathématique et publia finalement son chef-d'œuvre « The Chemical Bases of Morphogenèse » en janvier 1952.,Quand Turing avait 39 ans en 1951 il se tourna vers la biologie mathématique et publia finalement son chef-d'œuvre « The Chemical Basis of Morphogenèse » en janvier 1952.
Alan Turing,"He was interested in morphogenesis, the development of patterns and shapes in biological organisms.","Il s'intéressait à la morphogenèse, au développement de modèles et de formes dans les organismes biologiques.","Il s'intéressait à la morphogenèse, au développement de motifs et de formes dans les organismes biologiques......................................................................................................","Il s'intéressait à la morphogenèse, au développement de motifs et de formes dans les organismes biologiques.","Il s'intéressait à la morphogenèse, au développement de motifs et de formes dans les organismes biologiques......................................................................................................"
Alan Turing,"He suggested that a system of chemicals reacting with each other and diffusing across space, termed a reactiondiffusion system, could account for ""the main phenomena of morphogenesis"".","Il a suggéré qu'un système de produits chimiques qui réagissent les uns avec les autres et qui se diffusent dans l'espace, appelé système de diffusion des réactions, pourrait expliquer « les principaux phénomènes de morphogenèse ».",Il suggère qu'un système de produits chimiques réagissant l'un avec l'autre et diffusant à travers l'espace appelé système de diffusion de réaction pourrait expliquer « les principaux phénomènes de morphogenèse ».,Il suggère qu'un système de produits chimiques réagissant l'un avec l'autre et diffusant dans l'espace appelé système de diffusion de réaction pourrait expliquer « les principaux phénomènes de morphogenèse ».,"Il suggère qu'un système de produits chimiques réagissant l'un avec l'autre et diffusant dans l'espace, appelé système de diffusion de réaction, pourrait expliquer « les principaux phénomènes de morphogenèse »."
Alan Turing,He used systems of partial differential equations to model catalytic chemical reactions.,Il a utilisé des systèmes d'équations différentielles partielles pour modéliser les réactions chimiques catalytiques.,Il utilise des systèmes d'équations différentielles partielles pour modéliser les réactions chimiques catalytiques.,Il utilise des systèmes d'équations différentielles partielles pour modéliser les réactions chimiques catalytiques.,Il utilise des systèmes d'équations différentielles partielles pour modéliser les réactions chimiques catalytiques.
Alan Turing,"For example, if a catalyst A is required for a certain chemical reaction to take place, and if the reaction produced more of the catalyst A, then we say that the reaction is autocatalytic, and there is positive feedback that can be modelled by nonlinear differential equations.","Par exemple, si un catalyseur A est nécessaire pour qu'une certaine réaction chimique ait lieu, et si la réaction produite plus du catalyseur A, alors nous disons que la réaction est autocatalytique, et il y a une rétroaction positive qui peut être modélisée par des équations différentielles non linéaires.","Par exemple, si un catalyseur A est nécessaire pour qu'une certaine réaction chimique ait lieu et si la réaction produite plus du catalyseur A est alors nous disons que la réaction est autocatalytique et qu'il y a un retour positif qui peut être modélisé par des équations différentielles non linéaires.","Par exemple, si un catalyseur A est nécessaire pour qu'une certaine réaction chimique ait lieu et si la réaction produite plus du catalyseur A est alors nous disons que la réaction est autocatalytique et qu'il y a un retour positif qui peut être modélisé par des équations différentielles non linéaires.","Par exemple, si un catalyseur A est nécessaire pour qu'une certaine réaction chimique ait lieu et si la réaction produite est plus du catalyseur A, alors nous disons que la réaction est autocatalytique et qu'il y a un retour positif qui peut être modélisé par des équations différentielles non linéaires............................................................."
Alan Turing,"Turing discovered that patterns could be created if the chemical reaction not only produced catalyst A, but also produced an inhibitor B that slowed down the production of A.","Turing a découvert que des patrons pouvaient être créés si la réaction chimique non seulement produisait le catalyseur A, mais également un inhibiteur B qui ralentissait la production de A.",Turing découvre que des motifs peuvent être créés si la réaction chimique produit non seulement le catalyseur A mais aussi un inhibiteur B qui ralentit la production de A.,Turing découvre que des motifs peuvent être créés si la réaction chimique produit non seulement le catalyseur A mais aussi un inhibiteur B qui ralentit la production de A.,Turing a découvert que des patrons pouvaient être créés si la réaction chimique ne produisait pas seulement le catalyseur A mais aussi un inhibiteur B qui ralentissait la production de A.
