article,sentences,no_anno,pos_anno,wa_anno
Abstract art,"In Chinese painting, abstraction can be traced to the Tang dynasty painter Wang Mo (??), who is credited to have invented the splashed-ink painting style.",在 中国 的 画 中 抽象 可以 追溯 到 唐 时代 的 画 人 王 模 (? ) 他 被 称赞 发明 了 水 的 墨 画 风格,"在 中国 的 画 中, 抽象 可以 追溯 到 汤 时代 的 画 家 王 模 的 风格",在 中国 的 画 中 的 抽象 可以 追溯 到 唐 的 画 人 Wang Mo (? ) 的 发明 了 被 认为 是 发明 了 被 喷 的 墨 的 风格
Abstract art,"While none of his paintings remain, this style is clearly seen in some Song Dynasty Paintings.",虽然 他 的 绘 画 都 没有 留下 但 这种 风格 在 一些 宋 时代 的 绘画 中 明显 可见,虽然 他 的 绘 画 都 没有 留下 了 但 这种 风格 在 一些 宋 时代 的 绘画 中 明显 可见,虽然 他 的 作品 没有 留下 但 这种 风格 在 一些 宋 时代 的 绘画 中 明显 可见
Abstract art,"The Chan buddhist painter Liang Kai (??, c. 11401210) applied the style to figure painting in his ""Immortal in splashed ink"" in which accurate representation is sacrificed to enhance spontaneity linked to the non-rational mind of the enlightened.","Chan buddist 画家 Liang Kai (?, c 1140 * 1210 ) 运用 了 这种 风格 来 绘制 他 的 “ 在 喷 墨 中 的 永恒 ” 其中 牺牲 了 准确 的 表述 来 增强 与 开 明 人 非 理性 的 思想 相联系 的 自 性","Chan Buddhist 画家 梁凯 (?, c 1140 * 1210 ) 运用 了 这种 风格 来 绘制 他 的 “ 在 喷 墨 中 的 永恒 ” 其中 牺牲 了 准确 的 表述 来 增强 与 开 明 人 非 理性 的 思想 相联系 的 自 性","Chan buddist 画家 Liang Kai (?, c 1140 * 1210 ) 运用 了 这种 风格 来 绘制 他 的 “ 在 喷 墨 中 的 永恒 ” 其中 牺牲 了 准确 的 表述 来 增强 与 开 人 非 理性 的 思想 相联系 的 自 性"
Abstract art,"A late Song painter named Yu Jian, adept to Tiantai buddhism, created a series of splashed ink landscapes that eventually inspired many Japanese Zen painters.",一位 已故 的 画 画 名为 于 建 的 专家 于 天 台 孟加拉 创建 了 一系列 被 喷 的 墨 景 最终 激发 了 许多 日本 的 画 家,一位 已故 的 画 画 人  看向 并 得 于 天 台 佛教 创建 了 一系列 被 喷 的 墨 景 最终 激发 许多 日本 锌 画 家,一个 已故 的 画 人  beating 于 车站 并 得 于 天 台 佛教 并 创建 了 一系列 的 喷 墨 景观 最终 激励 许多 日本 犹太人 的 画
Alan Turing,"When Turing was 39 years old in 1951, he turned to mathematical biology, finally publishing his masterpiece ""The Chemical Basis of Morphogenesis"" in January 1952.",当 1951 年 Turing 年 39 岁 时 他 转向 数学 生物学 最后 在 年 1 月 发表 他 的 杰作 《 摩 福 起源 的 化学 基础 》,当 1951 年 Turing 39 岁 时 他 转向 数学 生物学 最后 在 1 月 发表 他 的 杰作 《 产生 的 化学 基础 》,当 图 灵 在 1951 年 39 岁 时 他 转向 数学 生物学 最后 在 1 年 1 月 12 月 发表 他 的 杰作 《 产生 的 化学 基础 》
Alan Turing,"He was interested in morphogenesis, the development of patterns and shapes in biological organisms.",他 对 生物 生物 生物 的 形态 和 形状 的 发展 感兴趣,他 对 生物 生物 的 形态 和 形状 的 发展 感兴趣,他 对 生物 生物 的 形态 和 形状 的 发展 感兴趣
Alan Turing,"He suggested that a system of chemicals reacting with each other and diffusing across space, termed a reactiondiffusion system, could account for ""the main phenomena of morphogenesis"".",他 提出 一个 化学 系统 互相 反应 并 扩散 整个 空间 被 称为 一个 反应 扩散 系统 可能 代表 了 “ 主要 的 形成 现象 ”,他 提议 一个 化学 系统 互相 反应 并 在 整个 空间 传播 称为 一个 反应 扩散 系统 可能 代表 了 “ 产生 的 主要 现象 ”,他 建议 一种 化学 系统 相互 反应 并 传播 于 整个 空间 的 系统 被 称为 反应 传播 系统 可以 解释 出 于 摩 的 主要 现象
Alan Turing,He used systems of partial differential equations to model catalytic chemical reactions.,他 使用 部分 差异 等 系统 来 模拟 催 化 化学 反应,他 使用 部分 差异 等 系统 来 模拟 催 化 化学 反应,他 使用 部分 差异 等 系统 来 模拟 催 化 化学 反应
Alan Turing,"For example, if a catalyst A is required for a certain chemical reaction to take place, and if the reaction produced more of the catalyst A, then we say that the reaction is autocatalytic, and there is positive feedback that can be modelled by nonlinear differential equations.","例如 如果 某种 化学 反应 需要 一个 催化剂 A 而 如果 该 反应 产生 了 更多 的 催化剂 A 那么 我们 就 说 该 反应 是 自动 催 化 的, 有 积极 的 反馈 可以 以 非 线 差异 公式 来 模拟","例如 如果 某种 化学 反应 需要 一个 催化剂 A 进行 并且 如果 该 反应 产生 了 更多 的 催化剂 A 那么 我们 就 说 该 反应 是 自动 催化 的, 有 积极 的 反馈 可以 以 非 线 差异 公式 来 模拟","例如 如果 需要 一个 催化剂 A 来 进行 某种 的 化学 反应 如果 该 反应 产生 了 更多 的 催化剂 A 那么 我们 就 说 该 反应 是 自动 催化 的, 有 积极 的 反馈 可以 以 非 线 差异 等 模式 来 模拟"
Alan Turing,"Turing discovered that patterns could be created if the chemical reaction not only produced catalyst A, but also produced an inhibitor B that slowed down the production of A.",Turing 发现 如果 化学 反应 不仅 产生 了 催化剂 A 并且 也 产生 了 抑制 剂 B 从而 减缓 了 A 的 生产,Turing 发现 如果 化学 反应 不仅 产生 催化剂 A 并且 还 产生 抑制 剂 B 从而 减缓 A 的 生产,图 灵 发现 如果 化学 反应 不仅 产生 催化剂 A 并且 还 产生 一种 抑制 剂 B 减缓 A 的 生产
Alan Turing,"If A and B then diffused through the container at different rates, then you could have some regions where A dominated and some where B did.",如果 A 和 B 然后 以 不同 的 速度 在 容器 中 扩散 那么 你 可以 有 一些 A 统治 的 地区 和 一些 B 统治 的 地区,如果 A 和 B 然后 以 不同 的 速度 在 集装箱 中 扩散 那么 你 可以 有 一些 A 统治 的 地区 和 一些 B 统治 的 地区,如果 A 和 B 然后 以 不同 的 速度 在 容器 中 扩散 那么 你 可以 有 一些 A 统治 的 地区 和 一些 B 统治 的 地区
