EN_Name,FR_Name,ZH_Name,EN_URL,FR_URL,ZH_URL,Category
Marie Curie,Marie Curie,玛丽·居里,https://en.wikipedia.org/wiki/Marie_Curie,https://fr.wikipedia.org/wiki/Marie_Curie,https://zh.wikipedia.org/wiki/%E7%8E%9B%E4%B8%BD%C2%B7%E5%B1%85%E9%87%8C,People
Leo Tolstoy,Léon Tolstoï,列夫·托爾斯泰,https://en.wikipedia.org/wiki/Leo_Tolstoy,https://fr.wikipedia.org/wiki/L%C3%A9on_Tolsto%C3%AF,https://zh.wikipedia.org/wiki/%E5%88%97%E5%A4%AB%C2%B7%E6%89%98%E7%88%BE%E6%96%AF%E6%B3%B0,People
Pablo Picasso,Pablo Picasso,巴勃羅·畢卡索,https://en.wikipedia.org/wiki/Pablo_Picasso,https://fr.wikipedia.org/wiki/Pablo_Picasso,https://zh.wikipedia.org/wiki/%E5%B7%B4%E5%8B%83%E7%BE%85%C2%B7%E7%95%A2%E5%8D%A1%E7%B4%A2,People
Adolf Hitler,Adolf Hitler,阿道夫·希特勒,https://en.wikipedia.org/wiki/Adolf_Hitler,https://fr.wikipedia.org/wiki/Adolf_Hitler,https://zh.wikipedia.org/wiki/%E9%98%BF%E9%81%93%E5%A4%AB%C2%B7%E5%B8%8C%E7%89%B9%E5%8B%92,People
Karl Marx,Karl Marx,卡尔·马克思,https://en.wikipedia.org/wiki/Karl_Marx,https://fr.wikipedia.org/wiki/Karl_Marx,https://zh.wikipedia.org/wiki/%E5%8D%A1%E5%B0%94%C2%B7%E9%A9%AC%E5%85%8B%E6%80%9D,People
Abraham,Abraham,亞伯拉罕,https://en.wikipedia.org/wiki/Abraham,https://fr.wikipedia.org/wiki/Abraham,https://zh.wikipedia.org/wiki/%E4%BA%9E%E4%BC%AF%E6%8B%89%E7%BD%95,People
Shen Kuo,Shen Kuo,沈括,https://en.wikipedia.org/wiki/Shen_Kuo,https://fr.wikipedia.org/wiki/Shen_Kuo,https://zh.wikipedia.org/wiki/%E6%B2%88%E6%8B%AC,People
Genghis Khan,Gengis Khan,成吉思汗,https://en.wikipedia.org/wiki/Genghis_Khan,https://fr.wikipedia.org/wiki/Gengis_Khan,https://zh.wikipedia.org/wiki/%E6%88%90%E5%90%89%E6%80%9D%E6%B1%97,People
Dante Alighieri,Dante Alighieri,但丁·阿利吉耶里,https://en.wikipedia.org/wiki/Dante_Alighieri,https://fr.wikipedia.org/wiki/Dante_Alighieri,https://zh.wikipedia.org/wiki/%E4%BD%86%E4%B8%81%C2%B7%E9%98%BF%E5%88%A9%E5%90%89%E8%80%B6%E9%87%8C,People
Napoleon,Napoléon Ier,拿破仑一世,https://en.wikipedia.org/wiki/Napoleon,https://fr.wikipedia.org/wiki/Napol%C3%A9on_Ier,https://zh.wikipedia.org/wiki/%E6%8B%BF%E7%A0%B4%E4%BB%91%E4%B8%80%E4%B8%96,People
Rabindranath Tagore,Rabindranath Tagore,罗宾德拉纳特·泰戈尔,https://en.wikipedia.org/wiki/Rabindranath_Tagore,https://fr.wikipedia.org/wiki/Rabindranath_Tagore,https://zh.wikipedia.org/wiki/%E7%BD%97%E5%AE%BE%E5%BE%B7%E6%8B%89%E7%BA%B3%E7%89%B9%C2%B7%E6%B3%B0%E6%88%88%E5%B0%94,People
Carl Linnaeus,Carl von Linné,卡尔·林奈,https://en.wikipedia.org/wiki/Carl_Linnaeus,https://fr.wikipedia.org/wiki/Carl_von_Linn%C3%A9,https://zh.wikipedia.org/wiki/%E5%8D%A1%E5%B0%94%C2%B7%E6%9E%97%E5%A5%88,People
Qin Shi Huang,Qin Shi Huang,秦始皇,https://en.wikipedia.org/wiki/Qin_Shi_Huang,https://fr.wikipedia.org/wiki/Qin_Shi_Huang,https://zh.wikipedia.org/wiki/%E7%A7%A6%E5%A7%8B%E7%9A%87,People
William Shakespeare,William Shakespeare,威廉·莎士比亚,https://en.wikipedia.org/wiki/William_Shakespeare,https://fr.wikipedia.org/wiki/William_Shakespeare,https://zh.wikipedia.org/wiki/%E5%A8%81%E5%BB%89%C2%B7%E8%8E%8E%E5%A3%AB%E6%AF%94%E4%BA%9A,People
Hippocrates,Hippocrate,希波克拉底,https://en.wikipedia.org/wiki/Hippocrates,https://fr.wikipedia.org/wiki/Hippocrate,https://zh.wikipedia.org/wiki/%E5%B8%8C%E6%B3%A2%E5%85%8B%E6%8B%89%E5%BA%95,People
Ashoka,Ashoka,阿育王,https://en.wikipedia.org/wiki/Ashoka,https://fr.wikipedia.org/wiki/Ashoka,https://zh.wikipedia.org/wiki/%E9%98%BF%E8%82%B2%E7%8E%8B,People
Leonhard Euler,Leonhard Euler,萊昂哈德·歐拉,https://en.wikipedia.org/wiki/Leonhard_Euler,https://fr.wikipedia.org/wiki/Leonhard_Euler,https://zh.wikipedia.org/wiki/%E8%90%8A%E6%98%82%E5%93%88%E5%BE%B7%C2%B7%E6%AD%90%E6%8B%89,People
Frida Kahlo,Frida Kahlo,芙烈達·卡蘿,https://en.wikipedia.org/wiki/Frida_Kahlo,https://fr.wikipedia.org/wiki/Frida_Kahlo,https://zh.wikipedia.org/wiki/%E8%8A%99%E7%83%88%E9%81%94%C2%B7%E5%8D%A1%E8%98%BF,People
Charlemagne,Charlemagne,查理曼,https://en.wikipedia.org/wiki/Charlemagne,https://fr.wikipedia.org/wiki/Charlemagne,https://zh.wikipedia.org/wiki/%E6%9F%A5%E7%90%86%E6%9B%BC,People
Marco Polo,Marco Polo,马可·波罗,https://en.wikipedia.org/wiki/Marco_Polo,https://fr.wikipedia.org/wiki/Marco_Polo,https://zh.wikipedia.org/wiki/%E9%A9%AC%E5%8F%AF%C2%B7%E6%B3%A2%E7%BD%97,People
Euclid,Euclide,欧几里得,https://en.wikipedia.org/wiki/Euclid,https://fr.wikipedia.org/wiki/Euclide,https://zh.wikipedia.org/wiki/%E6%AC%A7%E5%87%A0%E9%87%8C%E5%BE%97,People
Hokusai,Hokusai,葛饰北斋,https://en.wikipedia.org/wiki/Hokusai,https://fr.wikipedia.org/wiki/Hokusai,https://zh.wikipedia.org/wiki/%E8%91%9B%E9%A5%B0%E5%8C%97%E6%96%8B,People
Emmy Noether,Emmy Noether,埃米·诺特,https://en.wikipedia.org/wiki/Emmy_Noether,https://fr.wikipedia.org/wiki/Emmy_Noether,https://zh.wikipedia.org/wiki/%E5%9F%83%E7%B1%B3%C2%B7%E8%AF%BA%E7%89%B9,People
Plato,Platon,柏拉图,https://en.wikipedia.org/wiki/Plato,https://fr.wikipedia.org/wiki/Platon,https://zh.wikipedia.org/wiki/%E6%9F%8F%E6%8B%89%E5%9B%BE,People
Martin Luther,Martin Luther,馬丁·路德,https://en.wikipedia.org/wiki/Martin_Luther,https://fr.wikipedia.org/wiki/Martin_Luther,https://zh.wikipedia.org/wiki/%E9%A6%AC%E4%B8%81%C2%B7%E8%B7%AF%E5%BE%B7,People
Hammurabi,Hammurabi,汉谟拉比,https://en.wikipedia.org/wiki/Hammurabi,https://fr.wikipedia.org/wiki/Hammurabi,https://zh.wikipedia.org/wiki/%E6%B1%89%E8%B0%9F%E6%8B%89%E6%AF%94,People
Kurt Gödel,Kurt Gödel,库尔特·哥德尔,https://en.wikipedia.org/wiki/Kurt_G%C3%B6del,https://fr.wikipedia.org/wiki/Kurt_G%C3%B6del,https://zh.wikipedia.org/wiki/%E5%BA%93%E5%B0%94%E7%89%B9%C2%B7%E5%93%A5%E5%BE%B7%E5%B0%94,People
